

Phone powered on Date =1970-03-21-12:59:06.395776
Phone Up Time(Seconds) =123
Phone Flash Version =payton-userdebug 7.1.1 NPW26.83-29 86 intcfg,test-keys
Phone boot mode =normal

TimeStamp,UpTime,dc_current_max,dc_online,dc_voltage_now,dc_present,bms_temp,bms_constant_charge_voltage,bms_charge_now_raw,bms_resistance,bms_charge_full_design,bms_current_now,bms_charge_now,bms_soc_reporting_ready,bms_charge_full,bms_capacity,bms_voltage_max_design,bms_debug_battery,bms_charge_counter,bms_voltage_ocv,bms_voltage_now,bms_battery_type,bms_cycle_count,bms_time_to_full_avg,bms_time_to_empty_avg,bms_resistance_id,bms_cycle_count_id,usb_real_type,usb_boost_current,usb_hw_current_max,usb_system_temp_level,usb_pd_current_max,usb_input_current_settled,usb_current_max,usb_typec_power_role,usb_num_system_temp_levels,usb_typec_mode,usb_input_current_now,usb_online,usb_voltage_max,usb_voltage_min,usb_voltage_now,usb_pe_start,usb_typec_cc_orientation,usb_pd_allowed,usb_pd_active,usb_ctm_current_max,usb_pr_swap,usb_present,main_fcc_delta,main_input_current_settled,main_current_max,main_input_voltage_settled,main_constant_charge_current_max,main_voltage_max,usbeb_current_max,usbeb_online,usbeb_present,wireless_system_temp_level,wireless_current_max,wireless_num_system_temp_levels,wireless_online,wireless_present,battery_age,battery_temp,battery_voltage_qnovo,battery_step_charging_step,battery_dp_dm,battery_charger_temp_max,battery_battery_charging_enabled,battery_input_suspend,battery_system_temp_level,battery_set_ship_mode,battery_rerun_aicl,battery_charger_temp,battery_input_current_limited,battery_current_now,battery_parallel_disable,battery_charge_done,battery_charge_rate,battery_charge_type,battery_capacity,battery_health,battery_num_system_temp_levels,battery_constant_charge_current_max,battery_status,battery_voltage_max,battery_voltage_now,battery_die_health,battery_technology,battery_step_charging_enabled,battery_present,battery_current_qnovo,pc_port_online,
1970-03-21-13:07:33.817055,631,500000,0,0,0,260,4389899,-101879,162353,3039000,3417,0,1,3039000,100,4400000,0,2373306,4356940,4363514,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),18417,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4363270,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:08:33.925275,691,500000,0,0,0,260,4389899,-101935,162597,3039000,2929,0,1,3039000,100,4400000,0,2373250,4356452,4362293,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),18417,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362293,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:09:34.137488,751,500000,0,0,0,260,4389899,-101991,162597,3039000,3417,0,1,3039000,100,4400000,0,2373194,4357428,4363270,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),23022,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362293,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:10:34.296941,811,500000,0,0,0,260,4389899,-102048,162841,3039000,2929,0,1,3039000,100,4400000,0,2373137,4357428,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:11:34.460211,871,500000,0,0,0,260,4389899,-102102,162841,3039000,2929,0,1,3039000,100,4400000,0,2373083,4357916,4363270,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4363270,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:12:34.615879,931,500000,0,0,0,260,4389899,-102160,162841,3039000,2929,0,1,3039000,100,4400000,0,2373025,4357916,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),36835,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:13:34.816429,992,500000,0,0,0,260,4389899,-102215,162841,3039000,2929,0,1,3039000,100,4400000,0,2372970,4357916,4362293,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),27626,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2441,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:14:34.938028,1052,500000,0,0,0,260,4389899,-102272,163330,3039000,3417,0,1,3039000,100,4400000,0,2372913,4357916,4362049,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),46044,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,291,0,3417,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362049,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:15:35.097061,1112,500000,0,0,0,260,4389899,-102328,163330,3039000,2929,0,1,3039000,100,4400000,0,2372857,4358405,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),41440,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,296,0,2441,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:16:35.261650,1172,500000,0,0,0,260,4389899,-102384,163330,3039000,2929,0,1,3039000,100,4400000,0,2372801,4358893,4362781,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),41440,0,5000000,5000000,5097656,1,1,1,0,-22,0,1,0,500000,500000,5000000,0,4395000,500000,0,0,0,500000,0,0,0,100,260,-22,3,0,812,0,0,0,0,0,291,0,2929,0,1,Normal,N/A,100,Good,6,3000000,Full,-22,4362781,Cool,Li-ion,0,1,-22,1,
